date,model_id,likes,downloads,downloads_all_time
2025-03-03,ibm-granite/granite-vision-3.2-2b,30,2004,2004
2025-03-03,ibm-granite/granite-3.2-8b-instruct,27,3830,3830
2025-03-03,ibm-granite/granite-3.2-2b-instruct,20,3331,3331
2025-03-03,ibm-granite/granite-timeseries-ttm-r2,61,1036301,1512456
2025-03-03,ibm-granite/granite-3.2-8b-instruct-preview,63,8001,8001
2025-03-03,ibm-granite/granite-vision-3.1-2b-preview,88,13428,13444
2025-03-03,ibm-granite/granite-timeseries-ttm-r1,267,2354110,7778974
2025-03-03,ibm-granite/granite-embedding-30m-sparse,3,308,308
2025-03-03,ibm-granite/granite-timeseries-patchtsmixer,15,6925,16562
2025-03-03,ibm-granite/granite-3.1-2b-base,12,10566,19011
2025-03-03,ibm-granite/granite-7b-base,28,2079,55808
2025-03-03,ibm-granite/granite-3b-code-base-2k,37,6635,162292
2025-03-03,ibm-granite/granite-3b-code-instruct-2k,35,3534,118134
2025-03-03,ibm-granite/granite-8b-code-instruct-4k,110,2952,57380
2025-03-03,ibm-granite/granite-20b-code-instruct-8k,40,2386,64986
2025-03-03,ibm-granite/granite-34b-code-instruct-8k,74,2171,17614
2025-03-03,ibm-granite/granite-7b-instruct,7,1094,99455
2025-03-03,ibm-granite/granite-20b-code-instruct-8k-GGUF,5,216,4599
2025-03-03,ibm-granite/granite-34b-code-instruct-8k-GGUF,3,206,1536
2025-03-03,ibm-granite/granite-geospatial-biomass,43,1954,9922
2025-03-03,ibm-granite/granite-3b-code-base-128k,6,621,5366
2025-03-03,ibm-granite/granite-20b-functioncalling,30,6001,9725
2025-03-03,ibm-granite/granite-3b-code-instruct-128k,8,4441,9784
2025-03-03,ibm-granite/granite-8b-code-instruct-128k,19,2705,16656
2025-03-03,ibm-granite/granite-guardian-hap-38m,32,12280,70129
2025-03-03,ibm-granite/granite-guardian-hap-125m,20,305,2001
2025-03-03,ibm-granite/granite-geospatial-wxc-downscaling,34,176,1054
2025-03-03,ibm-granite/granite-3.0-2b-base,21,7398,33880
2025-03-03,ibm-granite/granite-3.0-8b-base,23,4704,33129
2025-03-03,ibm-granite/granite-3.0-8b-instruct,199,29753,175169
2025-03-03,ibm-granite/granite-3.0-3b-a800m-instruct,17,4502,21995
2025-03-03,ibm-granite/granite-3.0-1b-a400m-base,6,4324,16627
2025-03-03,ibm-granite/granite-guardian-3.0-8b,33,2571,7473
2025-03-03,ibm-granite/granite-3.0-8b-instruct-accelerator,1,23,279
2025-03-03,ibm-granite/granite-geospatial-canopyheight,17,1907,8287
2025-03-03,ibm-granite/granite-geospatial-land-surface-temperature,17,2086,8390
2025-03-03,ibm-granite/granite-geospatial-uki,12,74,733
2025-03-03,ibm-granite/granite-embedding-107m-multilingual,10,2877,9489
2025-03-03,ibm-granite/granite-embedding-278m-multilingual,25,20015,40326
2025-03-03,ibm-granite/granite-3.1-8b-base,20,8071,19767
2025-03-03,ibm-granite/granite-3.1-8b-instruct,152,96545,187479
2025-03-03,ibm-granite/granite-3.1-2b-instruct,41,42192,64776
2025-03-03,ibm-granite/granite-3.1-1b-a400m-base,6,4248,8932
2025-03-03,ibm-granite/granite-3.1-3b-a800m-instruct,21,5743,28909
2025-03-03,ibm-granite/granite-guardian-3.1-2b,8,6745,21310
2025-03-03,ibm-granite/granite-guardian-3.1-8b,13,1214,2622
2025-03-03,ibm-granite/granite-guardian-3.2-5b,1,54,54
2025-03-03,ibm-granite/GneissWeb.Quality_annotator,2,0,0
2025-03-03,ibm-granite/GneissWeb.Sci_classifier,1,0,0
2025-03-03,ibm-granite/GneissWeb.Tech_classifier,1,0,0
2025-03-03,ibm-granite/GneissWeb.Med_classifier,1,0,0
2025-03-03,ibm-granite/GneissWeb.Edu_classifier,1,0,0
2025-03-03,ibm-granite/granite-timeseries-patchtst,9,5850,14970
2025-03-03,ibm-granite/granite-20b-code-base-8k,13,501,21286
2025-03-03,ibm-granite/granite-8b-code-base-4k,29,1164,37777
2025-03-03,ibm-granite/granite-34b-code-base-8k,19,400,12324
2025-03-03,ibm-granite/granite-20b-code-base-8k-GGUF,4,183,687
2025-03-03,ibm-granite/granite-7b-instruct-accelerator,1,38,572
2025-03-03,ibm-granite/granite-20b-code-instruct-accelerator,3,39,330
2025-03-03,ibm-granite/granite-34b-code-base-8k-GGUF,3,138,600
2025-03-03,ibm-granite/granite-8b-code-instruct-accelerator,1,19,319
2025-03-03,ibm-granite/granite-3b-code-base-2k-GGUF,2,65,779
2025-03-03,ibm-granite/granite-3b-code-instruct-2k-GGUF,5,56,3650
2025-03-03,ibm-granite/granite-8b-code-base-4k-GGUF,2,84,550
2025-03-03,ibm-granite/granite-8b-code-instruct-4k-GGUF,10,1266,8239
2025-03-03,ibm-granite/granite-3b-code-instruct-accelerator,0,60,46604
2025-03-03,ibm-granite/granite-8b-code-base-128k,6,309,4448
2025-03-03,ibm-granite/granite-20b-code-base-r1.1,2,60,3347
2025-03-03,ibm-granite/granite-20b-code-instruct-r1.1,1,22,811
2025-03-03,ibm-granite/granite-34b-code-instruct-accelerator,0,56,101
2025-03-03,ibm-granite/granite-3.0-2b-instruct,47,22638,93440
2025-03-03,ibm-granite/granite-3.0-3b-a800m-base,5,3942,14352
2025-03-03,ibm-granite/granite-3.0-1b-a400m-instruct,19,465,7652
2025-03-03,ibm-granite/granite-guardian-3.0-2b,19,288,33074
2025-03-03,ibm-granite/granite-uncertainty-3.0-8b-lora,3,0,0
2025-03-03,ibm-granite/granite-rag-3.0-8b-lora,3,0,0
2025-03-03,ibm-granite/granite-geospatial-uki-flooddetection,14,99,315
2025-03-03,ibm-granite/granite-embedding-125m-english,6,10555,32900
2025-03-03,ibm-granite/granite-embedding-30m-english,5,81885,98859
2025-03-03,ibm-granite/granite-3.1-3b-a800m-base,5,3821,10419
2025-03-03,ibm-granite/granite-3.1-1b-a400m-instruct,13,6066,14534
2025-03-03,ibm-granite/granite-3.0-8b-lora-intrinsics-v0.1,1,35,65
2025-03-03,ibm-granite/granite-3.1-8b-lora-intrinsics-v0.1,0,39,39
2025-03-03,ibm-granite/granite-guardian-3.2-3b-a800m,0,73,73
2025-03-03,ibm-granite/GneissWeb.bloom,0,0,0
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed1,0,132,132
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed1,0,62,62
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed1,0,47,47
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed2,0,27,27
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed2,0,23,23
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed2,0,37,37
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed3,0,21,21
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed3,0,21,21
2025-03-03,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed3,0,31,31
2025-03-09,ibm-granite/granite-3.2-8b-instruct,51,9491,9491
2025-03-09,ibm-granite/granite-vision-3.2-2b,48,6275,6275
2025-03-09,ibm-granite/granite-3.2-2b-instruct,31,8199,8199
2025-03-09,ibm-granite/granite-timeseries-ttm-r2,70,1042816,1567871
2025-03-09,ibm-granite/granite-embedding-278m-multilingual,32,21271,45684
2025-03-09,ibm-granite/granite-3.2-8b-instruct-preview,68,9482,9482
2025-03-09,ibm-granite/granite-embedding-107m-multilingual,15,3819,11089
2025-03-09,ibm-granite/granite-guardian-3.2-5b,6,316,316
2025-03-09,ibm-granite/granite-embedding-30m-english,9,85833,104225
2025-03-09,ibm-granite/granite-embedding-125m-english,9,12382,36630
2025-03-09,ibm-granite/granite-3.1-2b-instruct,43,42303,71288
2025-03-09,ibm-granite/granite-vision-3.1-2b-preview,90,13803,14925
2025-03-09,ibm-granite/granite-timeseries-patchtsmixer,16,6948,16744
2025-03-09,ibm-granite/granite-timeseries-ttm-r1,267,3085169,8795357
2025-03-09,ibm-granite/granite-7b-base,28,1655,55993
2025-03-09,ibm-granite/granite-3b-code-base-2k,38,5803,162999
2025-03-09,ibm-granite/granite-3b-code-instruct-2k,35,2695,118442
2025-03-09,ibm-granite/granite-8b-code-instruct-4k,110,1770,57540
2025-03-09,ibm-granite/granite-20b-code-instruct-8k,40,2174,65549
2025-03-09,ibm-granite/granite-34b-code-instruct-8k,74,1877,17779
2025-03-09,ibm-granite/granite-7b-instruct,7,1704,100096
2025-03-09,ibm-granite/granite-20b-code-instruct-8k-GGUF,5,262,4657
2025-03-09,ibm-granite/granite-34b-code-instruct-8k-GGUF,3,242,1587
2025-03-09,ibm-granite/granite-geospatial-biomass,43,2503,11206
2025-03-09,ibm-granite/granite-3b-code-base-128k,6,672,5437
2025-03-09,ibm-granite/granite-20b-functioncalling,31,6076,9862
2025-03-09,ibm-granite/granite-3b-code-instruct-128k,8,3834,9855
2025-03-09,ibm-granite/granite-8b-code-instruct-128k,19,2385,16822
2025-03-09,ibm-granite/granite-guardian-hap-38m,33,12594,72998
2025-03-09,ibm-granite/granite-guardian-hap-125m,20,390,2110
2025-03-09,ibm-granite/granite-geospatial-wxc-downscaling,34,216,1113
2025-03-09,ibm-granite/granite-3.0-2b-base,21,7506,34991
2025-03-09,ibm-granite/granite-3.0-8b-base,23,4862,34043
2025-03-09,ibm-granite/granite-3.0-8b-instruct,199,29219,181160
2025-03-09,ibm-granite/granite-3.0-3b-a800m-instruct,17,4453,22803
2025-03-09,ibm-granite/granite-3.0-1b-a400m-base,6,4370,17436
2025-03-09,ibm-granite/granite-guardian-3.0-8b,33,5013,10185
2025-03-09,ibm-granite/granite-guardian-3.0-2b,20,279,33108
2025-03-09,ibm-granite/granite-3.0-8b-instruct-accelerator,1,100,360
2025-03-09,ibm-granite/granite-geospatial-canopyheight,18,2458,9517
2025-03-09,ibm-granite/granite-geospatial-land-surface-temperature,17,2656,9699
2025-03-09,ibm-granite/granite-geospatial-uki,12,79,741
2025-03-09,ibm-granite/granite-3.1-8b-base,20,8015,21756
2025-03-09,ibm-granite/granite-3.1-2b-base,12,12012,21519
2025-03-09,ibm-granite/granite-3.1-8b-instruct,153,91369,203122
2025-03-09,ibm-granite/granite-3.1-1b-a400m-base,6,4533,9964
2025-03-09,ibm-granite/granite-3.1-3b-a800m-instruct,21,5370,29609
2025-03-09,ibm-granite/granite-3.0-8b-lora-intrinsics-v0.1,2,45,84
2025-03-09,ibm-granite/granite-guardian-3.1-2b,8,2616,21802
2025-03-09,ibm-granite/granite-guardian-3.1-8b,13,1124,2778
2025-03-09,ibm-granite/granite-guardian-3.2-3b-a800m,1,311,311
2025-03-09,ibm-granite/GneissWeb.Quality_annotator,2,0,0
2025-03-09,ibm-granite/GneissWeb.Sci_classifier,1,0,0
2025-03-09,ibm-granite/GneissWeb.Tech_classifier,1,0,0
2025-03-09,ibm-granite/GneissWeb.Med_classifier,1,0,0
2025-03-09,ibm-granite/GneissWeb.Edu_classifier,1,0,0
2025-03-09,ibm-granite/granite-embedding-30m-sparse,4,2879,2879
2025-03-09,ibm-granite/granite-timeseries-patchtst,9,6951,16179
2025-03-09,ibm-granite/granite-20b-code-base-8k,13,191,21346
2025-03-09,ibm-granite/granite-8b-code-base-4k,29,522,37954
2025-03-09,ibm-granite/granite-34b-code-base-8k,19,181,12387
2025-03-09,ibm-granite/granite-20b-code-base-8k-GGUF,4,201,743
2025-03-09,ibm-granite/granite-7b-instruct-accelerator,1,15,575
2025-03-09,ibm-granite/granite-20b-code-instruct-accelerator,3,33,334
2025-03-09,ibm-granite/granite-34b-code-base-8k-GGUF,3,187,652
2025-03-09,ibm-granite/granite-8b-code-instruct-accelerator,1,12,320
2025-03-09,ibm-granite/granite-3b-code-base-2k-GGUF,2,56,783
2025-03-09,ibm-granite/granite-3b-code-instruct-2k-GGUF,5,56,3660
2025-03-09,ibm-granite/granite-8b-code-base-4k-GGUF,2,118,587
2025-03-09,ibm-granite/granite-8b-code-instruct-4k-GGUF,10,1480,8548
2025-03-09,ibm-granite/granite-3b-code-instruct-accelerator,0,40,46633
2025-03-09,ibm-granite/granite-8b-code-base-128k,6,660,4897
2025-03-09,ibm-granite/granite-20b-code-base-r1.1,2,51,3349
2025-03-09,ibm-granite/granite-20b-code-instruct-r1.1,1,11,811
2025-03-09,ibm-granite/granite-34b-code-instruct-accelerator,0,55,104
2025-03-09,ibm-granite/granite-3.0-2b-instruct,47,22977,97786
2025-03-09,ibm-granite/granite-3.0-3b-a800m-base,5,3236,14997
2025-03-09,ibm-granite/granite-3.0-1b-a400m-instruct,19,415,7733
2025-03-09,ibm-granite/granite-uncertainty-3.0-8b-lora,3,0,0
2025-03-09,ibm-granite/granite-rag-3.0-8b-lora,3,0,0
2025-03-09,ibm-granite/granite-geospatial-uki-flooddetection,14,61,319
2025-03-09,ibm-granite/granite-3.1-3b-a800m-base,5,3598,11009
2025-03-09,ibm-granite/granite-3.1-1b-a400m-instruct,13,5511,15368
2025-03-09,ibm-granite/granite-3.1-8b-lora-intrinsics-v0.1,0,42,42
2025-03-09,ibm-granite/GneissWeb.bloom,0,0,0
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed1,0,218,218
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed1,0,90,90
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed1,0,90,90
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed2,0,53,53
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed2,0,80,80
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed2,0,56,56
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed3,0,81,81
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed3,0,80,80
2025-03-09,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed3,0,52,52
2025-03-10,ibm-granite/granite-3.2-8b-instruct,51,9491,9491
2025-03-10,ibm-granite/granite-vision-3.2-2b,48,6275,6275
2025-03-10,ibm-granite/granite-3.2-2b-instruct,30,8199,8199
2025-03-10,ibm-granite/granite-timeseries-ttm-r2,70,1042816,1567871
2025-03-10,ibm-granite/granite-embedding-278m-multilingual,32,21271,45684
2025-03-10,ibm-granite/granite-embedding-107m-multilingual,15,3819,11089
2025-03-10,ibm-granite/granite-guardian-3.2-5b,6,316,316
2025-03-10,ibm-granite/granite-3.2-8b-instruct-preview,68,9482,9482
2025-03-10,ibm-granite/granite-embedding-30m-english,9,85833,104225
2025-03-10,ibm-granite/granite-embedding-125m-english,9,12382,36630
2025-03-10,ibm-granite/granite-3.1-2b-instruct,43,42303,71288
2025-03-10,ibm-granite/granite-vision-3.1-2b-preview,90,13803,14925
2025-03-10,ibm-granite/granite-timeseries-patchtsmixer,16,6948,16744
2025-03-10,ibm-granite/granite-timeseries-ttm-r1,267,3085169,8795357
2025-03-10,ibm-granite/granite-7b-base,28,1655,55993
2025-03-10,ibm-granite/granite-3b-code-base-2k,38,5803,162999
2025-03-10,ibm-granite/granite-3b-code-instruct-2k,35,2695,118442
2025-03-10,ibm-granite/granite-8b-code-instruct-4k,110,1770,57540
2025-03-10,ibm-granite/granite-20b-code-instruct-8k,40,2174,65549
2025-03-10,ibm-granite/granite-34b-code-instruct-8k,74,1877,17779
2025-03-10,ibm-granite/granite-7b-instruct,7,1704,100096
2025-03-10,ibm-granite/granite-20b-code-instruct-8k-GGUF,5,262,4657
2025-03-10,ibm-granite/granite-34b-code-instruct-8k-GGUF,3,242,1587
2025-03-10,ibm-granite/granite-geospatial-biomass,43,2503,11206
2025-03-10,ibm-granite/granite-3b-code-base-128k,6,672,5437
2025-03-10,ibm-granite/granite-20b-functioncalling,31,6076,9862
2025-03-10,ibm-granite/granite-3b-code-instruct-128k,8,3834,9855
2025-03-10,ibm-granite/granite-8b-code-instruct-128k,19,2385,16822
2025-03-10,ibm-granite/granite-guardian-hap-38m,33,12594,72998
2025-03-10,ibm-granite/granite-guardian-hap-125m,20,390,2110
2025-03-10,ibm-granite/granite-geospatial-wxc-downscaling,34,216,1113
2025-03-10,ibm-granite/granite-3.0-2b-base,21,7506,34991
2025-03-10,ibm-granite/granite-3.0-8b-base,23,4862,34043
2025-03-10,ibm-granite/granite-3.0-8b-instruct,199,29219,181160
2025-03-10,ibm-granite/granite-3.0-3b-a800m-instruct,17,4453,22803
2025-03-10,ibm-granite/granite-3.0-1b-a400m-base,6,4370,17436
2025-03-10,ibm-granite/granite-guardian-3.0-8b,33,5013,10185
2025-03-10,ibm-granite/granite-guardian-3.0-2b,20,279,33108
2025-03-10,ibm-granite/granite-3.0-8b-instruct-accelerator,1,100,360
2025-03-10,ibm-granite/granite-geospatial-canopyheight,18,2458,9517
2025-03-10,ibm-granite/granite-geospatial-land-surface-temperature,17,2656,9699
2025-03-10,ibm-granite/granite-geospatial-uki,12,79,741
2025-03-10,ibm-granite/granite-3.1-8b-base,20,8015,21756
2025-03-10,ibm-granite/granite-3.1-2b-base,12,12012,21519
2025-03-10,ibm-granite/granite-3.1-8b-instruct,153,91369,203122
2025-03-10,ibm-granite/granite-3.1-1b-a400m-base,6,4533,9964
2025-03-10,ibm-granite/granite-3.1-3b-a800m-instruct,21,5370,29609
2025-03-10,ibm-granite/granite-3.0-8b-lora-intrinsics-v0.1,2,45,84
2025-03-10,ibm-granite/granite-guardian-3.1-2b,8,2616,21802
2025-03-10,ibm-granite/granite-guardian-3.1-8b,13,1124,2778
2025-03-10,ibm-granite/granite-guardian-3.2-3b-a800m,1,311,311
2025-03-10,ibm-granite/GneissWeb.Quality_annotator,2,0,0
2025-03-10,ibm-granite/GneissWeb.Sci_classifier,1,0,0
2025-03-10,ibm-granite/GneissWeb.Tech_classifier,1,0,0
2025-03-10,ibm-granite/GneissWeb.Med_classifier,1,0,0
2025-03-10,ibm-granite/GneissWeb.Edu_classifier,1,0,0
2025-03-10,ibm-granite/granite-embedding-30m-sparse,4,2879,2879
2025-03-10,ibm-granite/granite-timeseries-patchtst,9,6951,16179
2025-03-10,ibm-granite/granite-20b-code-base-8k,13,191,21346
2025-03-10,ibm-granite/granite-8b-code-base-4k,29,522,37954
2025-03-10,ibm-granite/granite-34b-code-base-8k,19,181,12387
2025-03-10,ibm-granite/granite-20b-code-base-8k-GGUF,4,201,743
2025-03-10,ibm-granite/granite-7b-instruct-accelerator,1,15,575
2025-03-10,ibm-granite/granite-20b-code-instruct-accelerator,3,33,334
2025-03-10,ibm-granite/granite-34b-code-base-8k-GGUF,3,187,652
2025-03-10,ibm-granite/granite-8b-code-instruct-accelerator,1,12,320
2025-03-10,ibm-granite/granite-3b-code-base-2k-GGUF,2,56,783
2025-03-10,ibm-granite/granite-3b-code-instruct-2k-GGUF,5,56,3660
2025-03-10,ibm-granite/granite-8b-code-base-4k-GGUF,2,118,587
2025-03-10,ibm-granite/granite-8b-code-instruct-4k-GGUF,10,1480,8548
2025-03-10,ibm-granite/granite-3b-code-instruct-accelerator,0,40,46633
2025-03-10,ibm-granite/granite-8b-code-base-128k,6,660,4897
2025-03-10,ibm-granite/granite-20b-code-base-r1.1,2,51,3349
2025-03-10,ibm-granite/granite-20b-code-instruct-r1.1,1,11,811
2025-03-10,ibm-granite/granite-34b-code-instruct-accelerator,0,55,104
2025-03-10,ibm-granite/granite-3.0-2b-instruct,47,22977,97786
2025-03-10,ibm-granite/granite-3.0-3b-a800m-base,5,3236,14997
2025-03-10,ibm-granite/granite-3.0-1b-a400m-instruct,19,415,7733
2025-03-10,ibm-granite/granite-uncertainty-3.0-8b-lora,3,0,0
2025-03-10,ibm-granite/granite-rag-3.0-8b-lora,3,0,0
2025-03-10,ibm-granite/granite-geospatial-uki-flooddetection,14,61,319
2025-03-10,ibm-granite/granite-3.1-3b-a800m-base,5,3598,11009
2025-03-10,ibm-granite/granite-3.1-1b-a400m-instruct,13,5511,15368
2025-03-10,ibm-granite/granite-3.1-8b-lora-intrinsics-v0.1,0,42,42
2025-03-10,ibm-granite/GneissWeb.bloom,0,0,0
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed1,0,218,218
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed1,0,90,90
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed1,0,90,90
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed2,0,53,53
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed2,0,80,80
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.Edu.seed2,0,56,56
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_FineWeb.seed3,0,81,81
2025-03-10,ibm-granite/GneissWeb.7B_ablation_model_on_350B_GneissWeb.seed3,0,80,80
